ID,OfficialViols,AEP,RepairCount,RepairCost,ClassB_count,ClassB,ClassC_count,ClassC,SumViols,ViolsDiff
23001,,,1,1075,4,4,4,4,8,
23002,,,1,4268.3,20,20,5,5,25,
23003,,,3,4694,11,11,13,13,24,
23004,,,2,1680,15,15,1,1,16,
23005,,,1,3800,,,,,0,
23006,,,1,229,,,,,0,
23007,,,1,100,6,6,2,2,8,
23008,,,1,585,38,38,1,1,39,
23009,,,1,260,4,4,7,7,11,
23010,,,1,443,1,1,1,1,2,
23011,,,1,380,95,95,30,30,125,
23012,,,3,3187,13,13,11,11,24,
23013,,,2,611,2,2,1,1,3,
23014,,,2,266,50,50,23,23,73,
23015,,,15,504791,35,35,34,34,69,
23016,,,1,800,9,9,3,3,12,
23017,,,6,3072.94,,,,,0,
23018,,,2,322,2,2,1,1,3,
23019,,,1,100,34,34,5,5,39,
23020,,,1,5950,,,,,0,
23021,,,1,0,,,,,0,
23022,,,1,119,3,3,1,1,4,
23023,,,1,0,2,2,,,2,
23024,,,3,802,,,,,0,
23025,,,1,640,2,2,,,2,
23026,,,1,38.25,7,7,10,10,17,
23027,,,1,380,,,,,0,
23028,,,2,1030,1,1,1,1,2,
23029,,,1,1183,16,16,9,9,25,
23030,,,6,32.75,21,21,35,35,56,
23031,,,3,3234.5,10,10,3,3,13,
23032,,,9,9671.28,10,10,21,21,31,
23033,,,1,812,5,5,9,9,14,
23034,,,3,7490,1,1,,,1,
23035,,,1,105,12,12,7,7,19,
23036,,,1,699,,,2,2,2,
23037,,,1,2808.91,,,,,0,
23038,,,1,150,,,1,1,1,
23039,,,1,9500,2,2,1,1,3,
23040,,,1,1075,22,22,3,3,25,
23041,,,1,41.12,13,13,10,10,23,
23042,,,1,2890,4,4,3,3,7,
23043,,,1,3003.5,4,4,,,4,
23044,,,5,1087,59,59,38,38,97,
23045,,,1,499,1,1,2,2,3,
23046,,,1,275,,,1,1,1,
23047,,,1,260,3,3,2,2,5,
23048,,,1,249,17,17,10,10,27,
23049,,,2,615,5,5,2,2,7,
23050,,,1,150,3,3,,,3,
23051,,,1,0,,,1,1,1,
23052,,,1,749,13,13,4,4,17,
23053,,,1,494,3,3,,,3,
23054,,,3,1501.78,,,,,0,
23055,,,4,5038,75,75,45,45,120,
23056,,,1,20371.17,4,4,,,4,
23057,,,2,130,11,11,1,1,12,
23058,,,1,1360,22,22,4,4,26,
23059,,,8,15896.6,34,34,4,4,38,
23060,,,1,369,31,31,4,4,35,
23061,,,3,3405.5,6,6,4,4,10,
23062,,,1,1525,9,9,11,11,20,
23063,,,1,600,,,,,0,
23064,,,1,684,6,6,2,2,8,
23065,,,1,755,12,12,2,2,14,
23066,,,1,550,14,14,4,4,18,
23067,,,1,25000,,,,,0,
23068,,,1,1180,,,7,7,7,
23069,,,2,0,43,43,21,21,64,
23070,,,3,1565,21,21,6,6,27,
23071,,,4,2545,77,77,26,26,103,
23072,,,1,419,10,10,7,7,17,
23073,,,1,900,4,4,,,4,
23074,,,1,461,1,1,2,2,3,
23075,,,1,748,2,2,8,8,10,
23076,,,3,2780,18,18,5,5,23,
